20500100138903;"EL PLACER";3;2;00022602506;Daniela;Lopez;Ortíz;2304545;9
20500100138903;"EL PLACER";3;2;00022602507;Dario;Florencia;Castro;2304545;9
20500100138903;"EL PLACER";3;2;00022602508;Jose;Torres;Cardona;2304545;9
20500100138903;"EL PLACER";3;2;00022602509;Miguel;Ramos;Ochoa;2304545;9
20500100138903;"EL PLACER";3;2;00022602510;Camila;Cañas;Piedraita;2304545;9
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312345;Andrea;Girlado;Mantilla;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312346;Astrid;Aristizabal;Garcia;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312347;Catalina;Giraldo;Gonzales;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312348;Margarita;Arrieta;Goez;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312350;Paola;Ochoa;Incapie;5808301;10
20500100138001;"PRUEBA SEDE";4;2;03100254321;Guillermo;Zuluaga;Rodas;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254320;Juan;Yepes;Moreno;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254322;Andres;Betancur;Moreno;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254319;Cristian;Jimenes;Duque;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254313;David;Yusunguaira;Cuellar;3214570;7
