1;00022602506;2;Daniela;Maria;Ortíz;Lopez;2000-02-26;2304545;3013160458;danielamaria@gmail.com;"cll 45 f # 30 - 21";3;1;9;F;2015-08-24
2;00022602507;2;Dario;;Castro;Florencia;2000-02-26;2304545;3013160458;danielamaria@gmail.com;"cll 45 f # 30 - 21";3;1;9;M;2015-08-24
3;00022602508;2;Jose;Andres;Cardona;Torres;2000-02-26;2304545;3013160458;danielamaria@gmail.com;"cll 45 f # 30 - 21";3;1;9;M;2015-08-24
4;00022602509;2;Miguel;Alejandro;Ochoa;Ramos;2000-02-26;2304545;3013160458;danielamaria@gmail.com;"cll 45 f # 30 - 21";3;1;9;M;2015-08-24
5;00022602510;2;Camila;;Piedraita;Cañas;2000-02-26;2304545;3013160458;danielamaria@gmail.com;"cll 45 f # 30 - 21";3;1;9;F;2015-08-24
6;99011312345;2;Andrea;;Mantilla;Girlado;1999-01-13;5808301;3012692661;correogenerico@hotmail.com;"cra 72 # 24 - 4";2;2;10;F;2015-08-24
7;99011312346;2;Astrid;Zuleima;Garcia;Aristizabal;1999-01-13;5808301;3012692661;correogenerico@hotmail.com;"cra 72 # 24 - 4";2;2;10;F;2015-08-24
8;99011312347;2;Catalina;;Gonzales;Giraldo;1999-01-13;5808301;3012692661;correogenerico@hotmail.com;"cra 72 # 24 - 4";2;2;10;F;2015-08-24
9;99011312348;2;Margarita;Maria;Goez;Arrieta;1999-01-13;5808301;3012692661;correogenerico@hotmail.com;"cra 72 # 24 - 4";2;2;10;F;2015-08-24
10;99011312350;2;Paola;Andrea;Incapie;Ochoa;1999-01-13;5808301;3012692661;correogenerico@hotmail.com;"cra 72 # 24 - 4";2;2;10;F;2015-08-24
11;03100254321;2;Guillermo;Leon;Rodas;Zuluaga;2003-10-02;3214570;3002513731;genericmail@yahoo.com;"trans 48 b # 70 -24 ed Palmalinda";6;3;7;M;2015-08-24
12;03100254320;2;Juan;Sebastian;Moreno;Yepes;2003-10-02;3214570;3002513731;genericmail@yahoo.com;"trans 48 b # 70 -24 ed Palmalinda";6;3;7;M;2015-08-24
13;03100254322;2;Andres;Felipe;Moreno;Betancur;2003-10-02;3214570;3002513731;genericmail@yahoo.com;"trans 48 b # 70 -24 ed Palmalinda";6;3;7;M;2015-08-24
14;03100254319;2;Cristian;Felipe;Duque;Jimenes;2003-10-02;3214570;3002513731;genericmail@yahoo.com;"trans 48 b # 70 -24 ed Palmalinda";6;3;7;M;2015-08-24
15;03100254313;2;David;;Cuellar;Yusunguaira;2003-10-02;3214570;3002513731;genericmail@yahoo.com;"trans 48 b # 70 -24 ed Palmalinda";6;3;7;M;2015-08-24
