20500100138903;"EL PLACER";3;2;00022602507;Dario;;Castro;Florencia;2304545;9
20500100138903;"EL PLACER";3;2;00022602508;Jose;Andres;Cardona;Torres;2304545;9
20500100138903;"EL PLACER";3;2;00022602509;Miguel;Alejandro;Ochoa;Ramos;2304545;9
20500100138903;"EL PLACER";3;2;00022602510;Camila;;Piedraita;Cañas;2304545;9
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312345;Andrea;;Mantilla;Girlado;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312346;Astrid;Zuleima;Garcia;Aristizabal;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312347;Catalina;;Gonzales;Giraldo;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312348;Margarita;Maria;Goez;Arrieta;5808301;10
20500100138904;"EL PLACER 2 LA REVELACION";2;2;99011312350;Paola;Andrea;Incapie;Ochoa;5808301;10
20500100138001;"PRUEBA SEDE";4;2;03100254321;Guillermo;Leon;Rodas;Zuluaga;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254320;Juan;Sebastian;Moreno;Yepes;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254322;Andres;Felipe;Moreno;Betancur;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254319;Cristian;Felipe;Duque;Jimenes;3214570;7
20500100138001;"PRUEBA SEDE";4;2;03100254313;David;;Cuellar;Yusunguaira;3214570;7
